date,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks,hk_property_price_yoy,hk_property_price_qoq,hk_property_price_qoq_ann
2018-10-01,407.2333,350.4667,324.9667,311.5333,313.0667,371.2000,311.9333,368.3000,,,,,Z,,,,5.8232,-6.2691,-22.8153
2019-01-01,409.7000,349.0667,327.1333,318.1000,314.8667,371.4333,317.1667,368.9000,,,,,Z,,,,1.2627,0.1629,0.6532
2019-04-01,437.7667,375.0667,347.3333,338.5667,319.8333,397.3000,333.4333,394.3000,,,,,,,,,2.7269,6.8853,30.5186
2019-07-01,431.3667,367.9667,340.9333,335.3333,310.6000,390.5667,328.6667,387.7000,,,,,Z,,,,-1.3319,-1.6739,-6.5292
2019-10-01,423.7333,362.2667,331.1667,326.0333,294.7333,383.6000,318.1333,380.9000,,,,,Z,,,,3.4211,-1.7539,-6.8333
2020-01-01,418.7333,359.9333,323.8667,317.1000,306.0000,379.7667,314.3000,377.1667,,,,,Z,,,,2.2409,-0.9801,-3.8633
2020-04-01,425.2000,365.4000,330.0000,318.6333,312.7333,385.7667,317.3333,383.4333,,,,,Z,,,,-2.7559,1.6615,6.8135
2020-07-01,425.5333,366.9667,329.9000,319.2667,312.6333,385.8000,317.9000,383.5000,,,,,,,,,-1.0833,0.0174,0.0696
2020-10-01,423.1667,365.0000,329.0333,314.2000,306.8000,383.1333,312.5667,380.6000,,,,,,,,,-0.0788,-0.7562,-2.9906
2021-01-01,429.0000,369.4667,337.1667,320.8667,319.9000,387.9667,320.6333,385.4667,,,,,,,,,2.2006,1.2787,5.2137
2021-04-01,436.2333,378.6333,345.3000,331.3000,324.5667,395.5333,329.7000,392.9667,,,,,,,,,2.4863,1.9457,8.0129
2021-07-01,441.8000,384.0000,348.2667,336.5667,320.1667,400.5667,332.6667,397.8667,,,,,,,,,3.7462,1.2469,5.0818
2021-10-01,437.6333,380.7333,345.3000,337.2000,312.2000,397.1333,331.2333,394.5000,,,,,,,,,3.6521,-0.8462,-3.3420
2022-01-01,425.6667,373.3000,338.5333,317.9000,303.8667,388.3333,314.6667,385.2667,,,,,Z,,,,-0.0519,-2.3405,-9.0385
2022-04-01,423.6667,371.8667,341.0000,318.5333,307.6333,386.9333,316.1667,384.1000,,,,,Z,,,,-2.2563,-0.3028,-1.2058
2022-07-01,405.3000,356.1667,329.8333,315.8000,297.7000,370.6667,312.1000,368.3333,,,,,Z,,,,-7.4229,-4.1048,-15.4357
2022-10-01,375.5333,328.2333,309.9333,306.2000,296.5667,342.4667,304.3667,341.0333,,,,,Z,,,,-13.5530,-7.4118,-26.5108
